



Watchman  n. Man employed to look after an empty building etc. At night.
Detach  v. 1 (often foll. By from) unfasten or disengage and remove. 2 send (troops etc.) On a separate mission. 3 (as detached adj.) A impartial; unemotional. B (esp. Of a house) standing separate.  detachable adj. [french: related to *attach]
Hereditable  adj. That can be inherited. [latin: related to *heir]


Graphite  n. Crystalline allotropic form of carbon used as a lubricant, in pencils, etc.  graphitic adj. [german graphit from greek grapho write]
Disadvantaged  adj. Lacking normal opportunities through poverty, disability, etc.
Millipede  n. (also millepede) small crawling invertebrate with a long segmented body with two pairs of legs on each segment. [latin mille thousand, pes ped- foot]


Stand-off half  n. Rugby half-back forming a link between the scrum-half and the three-quarters.

Swami  n. (pl. -s) hindu male religious teacher. [hindi svami]
Linguist  n. Person skilled in languages or linguistics.
Crozier  var. Of *crosier.
Sleepy  adj. (-ier, -iest) 1 drowsy. 2 quiet, inactive (sleepy town).  sleepily adv. Sleepiness n.
Cryptogram  n. Text written in cipher. [related to *crypt]
Achilles tendon  n. Tendon connecting the heel with the calf muscles.
Snail's pace  n. Very slow movement.
Chlorinate  v. (-ting) impregnate or treat with chlorine.  chlorination n.

Drystone  attrib. Adj. (of a wall etc.) Built without mortar.
Foremost  —adj. 1 most notable, best. 2 first, front. —adv. Most importantly (first and foremost). [old english]

African violet  n. House-plant with velvety leaves and blue, purple, or pink flowers.
Proper fraction  n. Fraction less than unity, with the numerator less than the denominator.


Orris root  n. Fragrant iris root used in perfumery etc.
Chuck1  —v. 1 colloq. Fling or throw carelessly or casually. 2 (often foll. By in, up) colloq. Give up; reject. 3 touch playfully, esp. Under the chin. —n. 1 playful touch under the chin. 2 toss. the chuck slang dismissal; rejection. Chuck out colloq. 1 expel (a person) from a gathering etc. 2 get rid of, discard. [perhaps from french chuquer knock]
Flat2  n. Set of rooms, usu. On one floor, as a residence.  flatlet n. [obsolete flet floor, dwelling, from germanic: related to *flat1]
Bah  int. Expressing contempt or disbelief. [french]
Fusty  adj. (-ier, -iest) 1 musty, stuffy. 2 antiquated.  fustiness n. [french fust cask, from latin fustis cudgel]



Flounder2  n. (pl. Same) 1 edible european flat-fish. 2 n. American flat-fish. [anglo-french, probably scandinavian]
Oilcake  n. Compressed linseed from which the oil has been extracted, used as fodder or manure.
Stock-still  adj. Motionless.
Backdrop  n. = *backcloth.
Bottom  —n. 1 a lowest point or part. B base. C underneath part. D furthest or inmost part. 2 colloq. A buttocks. B seat of a chair etc. 3 a less honourable end of a table, class, etc. B person occupying this (he's bottom of the class). 4 ground below water. 5 basis or origin. 6 essential character. —adj. Lowest, last. —v. 1 put a bottom to (a chair etc.). 2 find the extent of. 3 touch the bottom or lowest point (of).  at bottom basically. Be at the bottom of have caused. Bottom out reach the lowest level. Get to the bottom of fully investigate and explain. [old english]
Three-decker  n. 1 warship with three gun-decks. 2 thing with three levels or divisions.
Apocrypha  n.pl. 1 books included in the septuagint and vulgate versions of the old testament but not in the hebrew bible. 2 (apocrypha) writings etc. Not considered genuine. [greek apokrupto hide away]

Absolute  —adj. 1 complete, utter (absolute bliss). 2 unconditional (absolute authority). 3 despotic (absolute monarch). 4 not relative or comparative (absolute standard). 5 gram. A (of a construction) syntactically independent of the rest of the sentence, as in dinner being over, we left the table. B (of an adjective or transitive verb) without an expressed noun or object (e.g. The deaf, guns kill). 6 (of a legal decree etc.) Final. —n. Philos. (prec. By the) that which can exist independently of anything else. [latin: related to *absolve]
Peninsula  n. Piece of land almost surrounded by water or projecting far into a sea etc.  peninsular adj. [latin paene almost, insula island]

Unwise  adj. Foolish, imprudent.  unwisely adv.
Colouration  var. Of *coloration.

Tender mercies  n.pl. Iron. Harsh treatment.

Tidal  adj. Relating to, like, or affected by tides.  tidally adv.

Hunky-dory  adj. Esp. Us colloq. Excellent. [origin unknown]
Moonscape  n. 1 surface or landscape of the moon. 2 area resembling this; wasteland.


Warlord  n. Military commander or commander-in-chief.
Water  —n. 1 colourless transparent liquid compound of oxygen and hydrogen. 2 liquid consisting chiefly of this and found in seas and rivers, in rain, and in secretions of organisms. 3 expanse of water; a sea, lake, river, etc. 4 (in pl.) Part of a sea or river. 5 (often as the waters) mineral water at a spa etc. 6 state of a tide. 7 solution of a specified substance in water (lavender-water). 8 transparency and brilliance of a gem. 9 (attrib.) A found in or near water. B of, for, or worked by water. C involving, using, or yielding water. 10 (usu. In pl.) Amniotic fluid, released during labour. —v. 1 sprinkle or soak with water. 2 supply (a plant) with water. 3 give water to (an animal). 4 secrete water. 5 (as watered adj.) (of silk etc.) Having irregular wavy glossy markings. 6 take in a supply of water.  by water using a ship etc. For transport. Like water in great quantity, profusely. Make one's mouth water cause one's saliva to flow, stimulate one's appetite or anticipation. Of the first water of the finest quality or extreme degree. Water down 1 dilute. 2 make less forceful or horrifying. Water under the bridge past events accepted as irrevocable. [old english]

See-saw  —n. 1 a long plank balanced on a central support, for children to sit on at each end and move up and down alternately. B this game. 2 up-and-down or to-and-fro motion. 3 close contest with alternating advantage. —v. 1 play on a see-saw. 2 move up and down. 3 vacillate in policy, emotion, etc. —adj. & adv. With up-and-down or backward-and-forward motion. [reduplication of *saw1]

Diabetic  —adj. 1 of or having diabetes. 2 for diabetics. —n. Person suffering from diabetes.
Non-member  n. Person who is not a member.

Allow  v. 1 (often foll. By to + infin.) Permit. 2 assign a limited amount etc. (was allowed £500). 3 (usu. Foll. By for) provide or set aside for a purpose; add or deduct in consideration (allow £50 for expenses; allow for wastage). [originally = commend, from french: related to *ad-, latin laudo praise, loco place]
Mil  n. One-thousandth of an inch, as a unit of measure for the diameter of wire etc. [latin mille thousand]
Pastorate  n. 1 office or tenure of a pastor. 2 body of pastors.
Marxism-leninism  n. Marxism as developed by lenin.  marxist-leninist n. & adj.
Transgress  v. (also absol.) Go beyond the bounds or limits set by (a commandment, law, etc.); sin.  transgression n. Transgressor n. [latin transgredior -gress-]




Template  n. Piece of thin board or metal plate etc., used as a pattern in cutting or drilling etc. [originally templet, diminutive of temple, device in a loom to keep the cloth stretched]
Smelly  adj. (-ier, -iest) having a strong or unpleasant smell.  smelliness n.


Dishonest  adj. Fraudulent or insincere.  dishonestly adv. Dishonesty n.


Hepatitis  n. Inflammation of the liver. [related to *hepatic]
Patty  n. (pl. -ies) little pie or pasty. [french *pâté, after *pasty1]
Avocado  n. (pl. -s) 1 (in full avocado pear) dark green edible pear-shaped fruit with yellowish-green creamy flesh. 2 tree bearing it. [spanish from aztec]
Celeriac  n. Variety of celery. [from *celery]

High-ranking  adj. Of high rank, senior.
Lentil  n. 1 pea-like plant. 2 its seed, esp. Used as food. [latin lens]
Gimlet  n. Small tool with a screw-tip for boring holes. [french]


Foetid  var. Of *fetid.

Kerb-crawling  n. Colloq. Driving slowly in order to engage a prostitute.



Prejudge  v. (-ging) form a premature judgement on (a person, issue, etc.).



A/c  abbr. Account. [account current]

Hull1  n. Body of a ship, airship, etc. [perhaps related to *hold2]

Welshwoman  n. Woman who is welsh by birth or descent.




Emery  n. Coarse corundum for polishing metal etc. [greek smeris polishing powder]
Mane  n. 1 long hair on the neck of a horse, lion, etc. 2 colloq. Person's long hair. [old english]

Commercial traveller  n. Firm's representative visiting shops etc. To get orders.

Electrolysis  n. 1 chemical decomposition by electric action. 2 destruction of tumours, hair-roots, etc., by this process.  electrolytic adj.

Understeer  n. Tendency of a vehicle not to turn sharply enough.
M2  abbr. (also m.) 1 master. 2 monsieur. 3 motorway. 4 mega-.

Peddle  v. (-ling) 1 a sell (goods) as a pedlar. B advocate or promote. 2 sell (drugs) illegally. 3 engage in selling, esp. As a pedlar. [back-formation from *pedlar]

Doorway  n. Opening filled by a door.
Conditioned reflex  n. Reflex response to a non-natural stimulus, established by training.
Muffle  v. (-ling) 1 (often foll. By up) wrap or cover for warmth, or to deaden sound. 2 (usu. As muffled adj.) Stifle (an utterance). [perhaps french moufle thick glove, *muff1]


Unsociable  adj. Not sociable, disliking company.

Consultant  n. 1 person providing professional advice etc. 2 senior medical specialist in a hospital.
Hook  —n. 1 a bent or curved piece of metal etc. For catching hold or for hanging things on. B (in full fish-hook) bent piece of wire for catching fish. 2 curved cutting instrument (reaping-hook). 3 bend in a river, curved strip of land, etc. 4 a hooking stroke. B boxing short swinging blow. —v. 1 grasp or secure with hook(s). 2 catch with or as with a hook. 3 slang steal. 4 (in sports) send (the ball) in a curve or deviating path. 5 rugby secure (the ball) and pass it backward with the foot in the scrum.  by hook or by crook by one means or another. Off the hook 1 colloq. Out of difficulty or trouble. 2 (of a telephone receiver) not on its rest.  [old english]


Windburn  n. Inflammation of the skin caused by exposure to the wind.
Pavlovian  adj. 1 reacting predictably to a stimulus. 2 of such a stimulus or response. [pavlov, name of a physiologist]
Perennial  —adj. 1 lasting through a year or several years. 2 (of a plant) lasting several years. 3 lasting a long time or for ever. —n. Perennial plant.  perennially adv. [latin perennis from annus year]
Spaceman  n. (fem. Spacewoman) astronaut.


T'other  adj. & pron. Dial. Or joc. The other. [thet other ‘that other’]

Repack  v. Pack again.
Steel  —n. 1 strong malleable alloy of iron and carbon, used esp. For making tools, weapons, etc. 2 strength, firmness (nerves of steel). 3 steel rod for sharpening knives. —adj. Of or like steel. —v. (also refl.) Harden or make resolute. [old english]
Swallow-dive  n. & v. Dive with the arms outspread until close to the water.


Neckline  n. Edge or shape of a garment-opening at the neck.

Provide  v. (-ding) 1 supply, furnish (provided me with food; provided a chance). 2 a (usu. Foll. By for, against) make due preparation. B (usu. Foll. By for) take care of a person etc. With money, food, etc. (provides for a large family). 3 (usu. Foll. By that) stipulate in a will, statute, etc.  provider n. [latin provideo -vis- foresee]
Chirrup  —v. (-p-) chirp, esp. Repeatedly. —n. Chirruping sound. [imitative]
Catalan  —n. Native or language of catalonia in spain. —adj. Of catalonia. [french from spanish]


Ovary  n. (pl. -ies) 1 each of the female reproductive organs in which ova are produced. 2 hollow base of the carpel of a flower.  ovarian adj.
Asperity  n. (pl. -ies) 1 sharpness of temper or tone. 2 roughness; rough excrescence. [latin asper rough]



Mumble  —v. (-ling) speak or utter indistinctly. —n. Indistinct utterance or sound. [related to *mum2]
Interdepartmental  adj. Concerning more than one department.






Kneeler  n. 1 cushion for kneeling on. 2 person who kneels.



Unscramble  v. (-ling) make plain, decode, interpret (a scrambled transmission etc.).
Converse2  —adj. Opposite, contrary, reversed. —n. Something, esp. A statement or proposition, that is opposite or reversed.  conversely adv. [latin: related to *convert]





Bower  n. 1 arbour; summer-house. 2 poet. Inner room. [old english, = dwelling]
Unchanged  adj. Not changed; unaltered.



Unrivaled  adj. (brit. Unrivalled) having no equal.

Pommel  —n. 1 knob, esp. At the end of a sword-hilt. 2 upward projecting front of a saddle. —v. (-ll-; us -l-) = *pummel. [latin pomum apple]
Neighborly  adj. (brit. Neighbourly) like a good neighbour; friendly; kind.  neighbourliness n.

Phlegm  n. 1 thick viscous substance secreted by the mucous membranes of the respiratory passages, discharged by coughing. 2 a calmness. B sluggishness. 3 hist. Phlegm regarded as one of the four bodily humours. [greek phlegma]
Dispossess  v. 1 (usu. Foll. By of) (esp. As dispossessed adj.) Deprive (a person) of. 2 dislodge; oust.  dispossession n.
Barter  —v. 1 trade in goods without using money. 2 exchange (goods). —n. Trade by bartering. [perhaps from french]
Conspiracy of silence  n. Agreement to say nothing.
Underlay1  —v. (past and past part. -laid) lay something under (a thing) to support or raise it. —n. Thing so laid (esp. Under a carpet).
Pillowcase  n. (also pillowslip) washable cover for a pillow.
Chrysolite  n. Precious variety of olivine. [greek khrusos gold, lithos stone]
House of lords  n. Chamber of parliament that is mainly hereditary.
Hellenistic  adj. Of greek history, language, and culture of the late 4th to the late 1st c. Bc.

Lump sugar  n. Sugar in cubes.
Dial  —n. 1 plate with a scale for measuring weight, volume, etc., indicated by a pointer. 2 movable numbered disc on a telephone for making connection. 3 face of a clock or watch, marking the hours etc. 4 a plate or disc etc. On a radio or television for selecting a wavelength or channel. B similar device on other equipment. —v. (-ll-; us -l-) 1 (also absol.) Select (a telephone number) with a dial. 2 measure, indicate, or regulate with a dial. [medieval latin diale from dies day]
Punt3  v. 1 colloq. A bet on a horse etc. B speculate in shares etc. 2 (in some card-games) lay a stake against the bank. [french ponter]



Epidermis  n. Outer layer of the skin.  epidermal adj. [greek derma skin]
Defective  adj. Having defect(s); imperfect.  defectiveness n. [latin: related to *defect]
Counsel  —n. 1 advice, esp. Formally given. 2 consultation for advice. 3 (pl. Same) legal adviser, esp. A barrister; body of these. —v. (-ll-; us -l-) 1 advise (a person). 2 give esp. Professional advice to (a person) on personal problems. 3 recommend (a course of action).  keep one's own counsel not confide in others. Take counsel (usu. Foll. By with) consult.  counselling n. [latin consilium]
Parent  —n. 1 person who has or adopts a child; father or mother. 2 animal or plant from which others are derived. 3 (often attrib.) Source, origin, etc. —v. (also absol.) Be the parent of.  parental adj.  Parenthood n. [latin pario bring forth]




Usage  in standard english, it is not acceptable to use locate to mean merely ‘find’ as in can't locate my key.
Discredit  —n. 1 harm to reputation. 2 person or thing causing this. 3 lack of credibility. —v. (-t-) 1 harm the good reputation of. 2 cause to be disbelieved. 3 refuse to believe.
Exhibit  —v. (-t-) 1 show or reveal, esp. Publicly. 2 display (a quality etc.). —n. Item displayed, esp. In an exhibition or as evidence in a lawcourt.  exhibitor n. [latin exhibeo -hibit-]
Smarmy  adj. (-ier, -iest) colloq. Ingratiating.  smarmily adv. Smarminess n.
Heterogeneous  adj. 1 diverse in character. 2 varied in content.  heterogeneity n. [latin from greek genos kind]
-cyte  comb. Form mature cell (leucocyte). [greek kutos vessel]

Roughshod  adj. (of a horse) having shoes with nail-heads projecting to prevent slipping.  ride roughshod over treat inconsiderately or arrogantly.

Undated  adj. Without a date.
Blue book  n. Report issued by parliament or the privy council.
Hegemony  n. Leadership, esp. By one state of a confederacy. [greek hegemon leader]
Non-alcoholic  adj. Containing no alcohol.
Pipe  —n. 1 tube of metal, plastic, etc., used to convey water, gas, etc. 2 a narrow tube with a bowl at one end containing tobacco for smoking. B quantity of tobacco held by this. 3  a wind instrument of a single tube. B any of the tubes by which sound is produced in an organ. C (in pl.) = *bagpipes. 4 tubular organ, vessel, etc. In an animal's body. 5 high note or song, esp. Of a bird. 6 a boatswain's whistle. B sounding of this. 7 cask for wine, esp. As a measure, usu. = 105 gal. (about 477 litres). —v. (-ping) 1 a convey (oil, water, gas, etc.) By pipes. B provide with pipes. 2 play (a tune etc.) On a pipe or pipes. 3 (esp. As piped adj.) Transmit (recorded music etc.) By wire or cable. 4 (usu. Foll. By up, on, to, etc.) Naut. A summon (a crew). B signal the arrival of (an officer etc.) On board. 5 utter in a shrill voice. 6 decorate or trim with piping. 7 lead or bring (a person etc.) By the sound of a pipe or pipes.  pipe down colloq. Be quiet or less insistent. Pipe up begin to play, sing, speak, etc.  pipeful n. (pl. -s). [latin pipo chirp]


Hence  adv. 1 from this time (two years hence). 2 for this reason (hence we seem to be wrong). 3 archaic from here. [old english]

Trade wind  n. Wind blowing continually towards the equator and deflected westward.
Long-sighted  adj. 1 having long sight. 2 far-sighted.  long-sightedness n.
Have  —v. (-ving; 3rd sing. Present has; past and past part. Had) 1 as an auxiliary verb with past part. Or ellipt., to form the perfect, pluperfect, and future perfect tenses, and the conditional mood (has, had, will have, seen; had i known, i would have gone; yes, i have). 2 own or be able to use; be provided with (has a car; had no time). 3 hold in a certain relationship (has a sister; had no equals). 4 contain as a part or quality (box has a lid; has big eyes). 5 a experience (had a good time, a shock, a pain). B be subjected to a specified state (had my car stolen; book has a page missing). C cause (a person or thing) to be in a particular state or take particular action (had him sacked; had us worried; had my hair cut; had a copy made; had them to stay). 6 a engage in (an activity) (have an argument, sex). B hold (a meeting, party, etc.). 7 eat or drink (had a beer). 8 (usu. In neg.) Accept or tolerate; permit to (i won't have it; won't have you say that). 9 a feel (have no doubt; has nothing against me). B show (mercy, pity, etc.). C (foll. By to + infin.) Show by action that one is influenced by (a feeling, quality, etc.) (have the sense to stop). 10 a give birth to (offspring). B conceive mentally (an idea etc.). 11 receive, obtain (had a letter from him; not a ticket to be had). 12 be burdened with or committed to (has a job to do). 13 a have obtained (a qualification) (has six o levels). B know (a language) (has no latin). 14 slang a get the better of (i had him there). B (usu. In passive) cheat, deceive (you were had). 15 coarse slang have sexual intercourse with. —n. 1 (usu. In pl.) Colloq. Person with wealth or resources. 2 slang swindle.  had best see *best. Had better see *better. Have got to colloq. = have to. Have had it colloq. 1 have missed one's chance. 2 have passed one's prime. 3 have been killed, defeated, etc. Have it 1 (foll. By that) maintain that. 2 win a decision in a vote etc. 3 colloq. Have found the answer etc. Have it away (or off) coarse slang have sexual intercourse. Have it in for colloq. Be hostile or ill-disposed towards. Have it out (often foll. By with) colloq. Attempt to settle a dispute by argument. Have on 1 wear (clothes). 2 have (an engagement). 3 colloq. Tease, hoax. Have to be obliged to, must. Have up colloq. Bring (a person) before a judge, interviewer, etc. [old english]
Zoom lens  n. Lens allowing a camera to zoom by varying the focal length.

Helm  n. Tiller or wheel for controlling a ship's rudder.  at the helm in control; at the head of an organization etc. [old english]

Velour  n. (also velours pronunc. Same) plushlike fabric. [french]
Evict  v. Expel (a tenant etc.) By legal process.  eviction n. [latin evinco evict- conquer]



Chapel  n. 1 a place for private christian worship in a cathedral or large church, with its own altar. B this attached to a private house etc. 2 a place of worship for nonconformists. B chapel service.  3 members or branch of a printers' trade union at a place of work. [medieval latin cappa cloak: the first chapel was a sanctuary in which st martin's cloak (cappella) was preserved]
Oxf.  Abbr. Oxford.
Tea  n. 1 a (in full tea plant) asian evergreen shrub or small tree. B its dried leaves. 2 drink made by infusing tea-leaves in boiling water. 3 infusion of other leaves etc. (camomile tea; beef tea). 4 a light afternoon meal of tea, bread, cakes, etc. B = *high tea. [probably dutch tee from chinese]


State school  n. School largely managed and funded by the public authorities.
Impurity  n. (pl. -ies) 1 being impure. 2 impure thing or part.
Thatch  —n. 1 roof-covering of straw, reeds, etc. 2 colloq. Hair of the head. —v. (also absol.) Cover with thatch.  thatcher n. [old english]



Transmogrify  v. (-ies, -ied) joc. Transform, esp. In a magical or surprising manner.  transmogrification n. [origin unknown]







Stalinism  n. Centralized authoritarian form of socialism associated with stalin.  stalinist n. & adj. [stalin, a soviet statesman]

Unredeemed  adj. Not redeemed.
Elementary  adj. 1 dealing with the simplest facts of a subject. 2 unanalysable.




Knapweed  n. Plant with thistle-like purple flowers. [from knop ornamental knob or tuft]

Shakespearian  adj. (also shakespearean) of shakespeare.

Ovule  n. Structure that contains the germ cell in a female plant. [related to *ovum]


Slaver1  n. Hist. Ship or person engaged in the slave-trade.





Mullion  n. Vertical bar dividing the lights in a window.  mullioned adj. [probably french moinel middle: related to *mean3]


Sempstress  var. Of *seamstress.

Heir  n. (fem. Heiress) person entitled to property or rank as the legal successor of its former holder. [latin heres hered-]
Liveable  adj. (also livable) 1 colloq. (usu. Liveable-in) (of a house etc.) Fit to live in. 2 (of a life) worth living. 3 colloq. (usu. Liveable-with) (of a person) easy to live with.

Credibility  n. 1 being credible. 2 reputation, status.

Inalienable  adj. That cannot be transferred to another or taken away (inalienable rights).
Property  n. (pl. -ies) 1 thing(s) owned; possession, esp. A house, land, etc. (has money in property). 2 attribute, quality, or characteristic (property of dissolving grease). 3 movable object used on a theatre stage or in a film. [latin proprietas: related to *proper]
Wording  n. Form of words used.
Mandrake  n. Poisonous narcotic plant with large yellow fruit. [greek mandragoras]
Waistband  n. Strip of cloth forming the waist of a garment.
Palm1  n. 1 (also palm-tree) (usu. Tropical) tree-like plant with no branches and a mass of large leaves at the top. 2 leaf of this as a symbol of victory. [latin palma]





Piggish  adj. Greedy; dirty; mean.
Caviare  n. (us caviar) pickled roe of sturgeon or other large fish. [italian from turkish]
Needle-point  n. 1 lace made with needles, not bobbins. 2 = *gros point or *petit point.
Gentrification  n. Upgrading of a working-class urban area by the arrival of more affluent residents.  gentrify v. (-ies, -ied).
Laboratory  n. (pl. -ies) room, building, or establishment for scientific experiments, research, chemical manufacture, etc. [latin: related to *laborious]

Producer  n. 1 person who produces goods etc. 2 person who supervises the production of a play, film, broadcast, etc.

Multiplication sign  n. Sign (×) to indicate that one quantity is to be multiplied by another.
Dehydrate  v. (-ting) 1 remove water from (esp. Foods). 2 make or become dry, esp. Too dry.  dehydration n. [greek hudor water]
Gm  abbr. George medal.
Rangy  adj. (-ier, -iest) tall and slim.

Rosin  —n. Resin, esp. In solid form. —v. (-n-) rub (esp. A violin bow etc.) With rosin. [alteration of *resin]

Writer  n. 1 person who writes or has written something. 2 person who writes books, author.

All-time  attrib. Adj. (of a record etc.) Unsurpassed.
Banner  n. 1 large sign bearing a slogan or design, esp. In a demonstration or procession; flag. 2 slogan, esp. Political. [latin bandum standard]
Cd  symb. Cadmium.


Forty winks  n. Colloq. Short sleep.
Pioneer  —n. 1 initiator of an enterprise; investigator of a subject etc. 2 explorer or settler; colonist. —v. 1 initiate (an enterprise etc.) For others to follow. 2 be a pioneer. [french pionnier: related to *pawn1]


Ms-dos  abbr. Propr. Computing microsoft disk operating system.

Bud  —n. 1 a knoblike shoot from which a stem, leaf, or flower develops. B flower or leaf not fully open. 2 asexual outgrowth from an organism separating to form a new individual. —v. (-dd-) 1 form buds. 2 begin to grow or develop (budding artist). 3 graft a bud of (a plant) on to another. [origin unknown]
Flywheel  n. Heavy wheel on a revolving shaft to regulate machinery or accumulate power.

Tornado  n. (pl. -es) violent storm of small extent with whirling winds.  [spanish tronada thunderstorm]



Mollify  v. (-ies, -ied) appease.  mollification n. [latin mollis soft]

Nourish  v. 1 sustain with food. 2 foster or cherish (a feeling etc.).  nourishing adj. [latin nutrio to feed]



Ice lolly  n. (also iced lolly) flavoured ice on a stick.

Species  n. (pl. Same) 1 class of things having some common characteristics. 2 group of animals or plants within a genus, differing only slightly from others and capable of interbreeding. 3 kind, sort. [latin specio look]

She's  contr. 1 she is. 2 she has.
Avocet  n. Long-legged wading bird with an upward-curved bill. [french from italian]


Oboe  n. Woodwind double-reed instrument with a piercing plaintive tone.  oboist n. [french hautbois from haut high, bois wood]
Limbo1  n. (pl. -s) 1 (in some christian beliefs) supposed abode of the souls of unbaptized infants, and of the just who died before christ. 2 intermediate state or condition of awaiting a decision etc. [latin in limbo: related to *limb2]

Twiddle  —v. (-ling) twirl, adjust, or play randomly or idly. —n. Act of twiddling.  twiddle one's thumbs 1 make them rotate round each other. 2 have nothing to do.  twiddly adj. [probably imitative]
Watery  adj. 1 containing too much water. 2 too thin in consistency. 3 of or consisting of water. 4 vapid, uninteresting. 5 (of colour) pale. 6 (of the sun, moon, or sky) rainy-looking. 7 (of eyes) moist; tearful. wateriness n.

Anti-aircraft  adj. (of a gun or missile) used to attack enemy aircraft.
Kneecap  —n. 1 convex bone in front of the knee. 2 protective covering for the knee. —v. (-pp-) slang (of a terrorist) shoot (a person) in the knee or leg as a punishment.

Proselytize  v. (also -ise) (-zing or -sing) (also absol.) Convert or seek to convert from one belief etc. To another.


Met2  adj. Colloq. 1 meteorological. 2 metropolitan. 3 (the met) a (in full the met office) meteorological office. B metropolitan police in london. [abbreviation]



Handrail  n. Narrow rail for holding as a support.



Fortress  n. Fortified building or town. [latin fortis strong]


Orbicular  adj. Formal circular or spherical. [latin orbiculus diminutive of orbis ring]
Nominal value  n. Face value.
Zone  —n. 1 area having particular features, properties, purpose, or use (danger zone; smokeless zone). 2 well-defined region of more or less beltlike form. 3 area between two concentric circles. 4 encircling band of colour etc. 5 archaic belt, girdle. —v. (-ning) 1 encircle as or with a zone. 2 arrange or distribute by zones. 3 assign as or to a particular area.  zonal adj. [greek zone girdle]

Gnomic  adj. Of aphorisms; sententious. [greek gnome opinion]
Thymol  n. Antiseptic obtained from oil of thyme.



Coffee shop  n. Small informal restaurant, esp. In a hotel or department store.
Mood1  n. 1 state of mind or feeling. 2 fit of bad temper or depression.  in the mood (usu. Foll. By for, or to + infin.) Inclined. [old english]


Ghetto-blaster  n. Slang large portable radio, esp. For playing loud pop music.

Numeration  n. 1 method or process of numbering. 2 calculation. [latin: related to *number]

Dedication  n. 1 dedicating or being dedicated. 2 words with which a book etc. Is dedicated. [latin: related to *dedicate]


Ensilage  —n. = *silage. —v. (-ging) preserve (fodder) by ensilage. [french: related to *silo]




Lockjaw  n. Form of tetanus in which the jaws become rigidly closed.

Shanghai  v. (-hais, -haied, -haiing) 1 colloq. Trick or force someone into doing something. 2 trick or force (a person) into serving as a sailor. [shanghai in china]

Ridge  —n. 1 line of the junction of two surfaces sloping upwards towards each other (ridge of a roof). 2 long narrow hilltop, mountain range, or watershed. 3 any narrow elevation across a surface. 4 elongated region of high barometric pressure. 5 raised strip of esp. Ploughed land. —v. (-ging) mark with ridges.  ridgy adj. [old english]


Flat race  n. Horse race without jumps, over level ground.  flat racing n.




Ag  symb. Silver. [latin argentum]
Godsend  n. Unexpected but welcome event or acquisition.


Newsworthy  adj. Topical; noteworthy as news.

Usage  the use of from whence rather than simply whence (as in the place from whence they came), though common, is generally considered incorrect.
Diminutive  —adj. 1 tiny. 2 (of a word or suffix) implying smallness or affection. —n. Diminutive word or suffix.
Roll-up  n. (also roll-your-own) hand-rolled cigarette.

Mountie  n. Colloq. Member of the royal canadian mounted police. [abbreviation]
Serous  adj. 1 of or like serum; watery. 2 (of a gland or membrane) having a serous secretion.  serosity n. [related to *serum]
Irish coffee  n. Coffee with a dash of whiskey and a little sugar, topped with cream.


Swimsuit  n. Swimming-costume, esp. One-piece for women and girls.
Elbow-grease  n. Colloq. Vigorous polishing; hard work.
Crankpin  n. Pin by which a connecting-rod is attached to a crank.
Anno domini  adv. Years after christ's birth. [latin, = in the year of the lord]
Press1  —v. 1 apply steady force to (a thing in contact). 2 a compress or squeeze a thing to flatten, shape, or smooth it. B squeeze (a fruit etc.) To extract its juice. 3 (foll. By out of, from, etc.) Squeeze (juice etc.). 4 embrace or caress by squeezing (pressed my hand). 5 (foll. By on, against, etc.) Exert pressure. 6 be urgent; demand immediate action. 7 (foll. By for) make an insistent demand. 8 (foll. By up, round, etc.) Crowd. 9 (foll. By on, forward, etc.) Hasten insistently. 10 (often in passive) (of an enemy etc.) Bear heavily on. 11 (often foll. By for, or to + infin.) Urge or entreat (pressed me to stay; pressed me for an answer). 12 (foll. By on, upon) a urge (an opinion, claim, or course of action). B force (an offer, a gift, etc.). 13 insist on (did not press the point). 14 manufacture (a gramophone record, car part, etc.) By using pressure to shape and extract from a sheet of material. —n. 1 act of pressing (give it a press). 2 device for compressing, flattening, shaping, extracting juice, etc. 3 = *printing-press. 4 (prec. By the) a art or practice of printing. B newspapers etc. Generally or collectively. 5 notice or publicity in newspapers etc. (got a good press). 6 (press) printing or publishing company. 7 a crowding. B crowd (of people etc.). 8 the pressure of affairs. 9 esp. Ir. & scot. Large usu. Shelved cupboard.  be pressed for have barely enough (time etc.). Go (or send) to press go or send to be printed. [latin premo press-]
Plr  abbr. Public lending right.




Rac  abbr. Royal automobile club.
Formica  n. Propr. Hard durable plastic laminate used for surfaces. [origin uncertain]


Tamp  v. Ram down hard or tightly. [tampion stopper for gun-muzzle, from french tampon]
Abdomen  n. 1 the belly, including the stomach, bowels, etc. 2 the hinder part of an insect etc.  abdominal adj. [latin]


Diode  n. 1 semiconductor allowing the flow of current in one direction only and having two terminals. 2 thermionic valve having two electrodes. [from *di-1, *electrode]

