healthy food;tofu
hydra eg;polyp
lowlife;slime
record stat;rpm
archer william;tell
beggary;need
poitier role;sir
circulation increaser;fan
mold;shape
steering wheel option;tilt
infer from data;educe
rocky peak;tor
italicize say;slant
part of an iv;tube
in the altogether;nude
work party;crew
bikers wear;lycra
first in a line of cars;hearse
environmentalists magazi;sierra
appetizer;starter
squirrels stash;acorn
pass;out
love to bits;adore
a scot has one;burr
present for viewing  o;screen
former;old
dramatic procession;cavalcade
improve as beef;age
radiation dosage;rem
sow chow;slop
blurt tune out getting unsettled;turbulent
ok;allow
stew;goulash
glass component;silica
perpendicular;plumb
folded comestible;omelette
no walk in the park;snide
auto shaft;axle
show of lights;aurora
armistice;truce
donkey;ass
a threeofakind beats i;pair
pirates pal;matey
senate approval;yea
tgif part;its
house shader;oak
spare parts;pins
its under a canines coa;dentine
like monks;hooded
posttax amount;net
in  intrinsically;itself
make rustle as foil;crinkle
role in many teen flicks;nerd
enjoyment;pleasure
stiff;taut
some parliamentary conclusion by minister;amen
diamond plane;facet
possible solution;idea
thin streak;wisp
stir up;rile
picnic crasher;ant
purchase for a beer blast;case
profit share;cut
genuine cases of contrite remorse shown after offence;sincere
set of beliefs;credo
elastic fiber;lycra
wimbledon nono;fault
transvaal trekker;boer
brownishpurple;puce
new years day promise;resolution
ores locale;lode
boost with up;leg
factional division;schism
mineral in hemoglobin;iron
unenlightened;backward
remembered one;mama
thunderstorm residue;ozone
shavers woe;nick
seasonal worker;elf
quints boat in jaws;orca
many a delivery;son
animal with two feet;biped
beethovens kreutzer;sonata
in the main;mostly
conceal;bury
fortune;luck
dish designer;chef
rock projection;crag
maiden;lass
factgathering grp;cia
symbol of a boring routin;treadmill
make;attain
spirits lifter;boost
pigeonholes place;desk
extreme;ultra
cleancut;trim
many wedding guests;kin
nycs madison;ave
wood in flames shortly;fir
respiratory problem;asthma
gentle;mild
checklist bit;item
dragons  early video;lair
kind of gold;olympic
it may be taken at a gun;aim
help with homework;tutor
right in the forum;dexter
natural sitting spot;ledge
bush pilots destination;airstrip
thumbsup writeup;rave
aid in finding sunken shi;sonar
ultimately smitten with old italian car beginning to think about purchase;traction
the owls of the ncaa;rice
horn tooter;braggart
what computer key offers  the reverse of uppercase english;space
library holding;fiche
male character in french;pierrot
curved path;orbit
not the real decisionmak;tool
paris bisector;seine
relative of a mallard;teal
caricature;ape
grounds;dregs
nyctomiami dir;ssw
feature of a dangerous ci;lion
fanatics wage it;jihad
impudent talk;sass
arctic people;inuit
mysterious letter;rune
schoolyard friend;playmate
somewhat;fairly
win over;seduce
like some traffic;oncoming
human trunk;torso
sandwich choice;pita
angry;mad
put in to get in;ante
lucky strike;trove
break ones word;hyphenate
archipelago component;isle
sound of a fall;clunk
abu dhabi denizen;arab
part of allotment scheme;plot
become definite;jell
switch around;amend
money in milano;lira
soft fibres;fluff
abbr on a boombox;rec
foul up as plans;derail
painful stomach problem;ulcer
egyptian sacred bird;ibis
history of quadruped i greeted;pedigree
sweaters and such;knitwear
loyal subject;liege
northern sea duck;eider
bridge weight unit;ton
western villain;desperado
implore;pray
ignite;kindle
tie;bind
hacienda hand maybe;peon
omen;sign
mollusk;clam
fixation;fetish
heading for sandown crowd wants horse to leave stable;strong
shoving match;sumo
part of a virgin atlantic;aeroplane
stamfords state abbr;conn
goldenagers nest egg f;ira
filling danger;gum
everything else;rest
native of bangkok;thai
the hanged man eg;tarot
hitched;married
ultimate point;end
woollen garments;knitwear
musical with the song fr;hair
take on;hire
meatandvegetable stew;hotpot
what candles may reveal;age
spreadsheet function;sort
acute abdominal pain;colic
gladiatorial ring;arena
harvard tradition;lampoon
variety of pewter dish;trifle
steal cattle;rustle
one with a sixyr term;sen
wee;tiny
healthful;salutary
downed a sub;ate
echo after blowback of gassy hot air;bilge
criterion;gauge
colder than cold;arctic
art of public speaking;oratory
tinker or evers or chance;cub
pinball problem;tilt
turbulent water stretch;rip
have an effect on each other;interact
mummys locale;tomb
grimalkin;crone
aid for eating small party eats;cocktail stick
ethyl cinnamate for one;ester
origination point for man;barge
malarkey;hokum
gypsum variety;alabaster
idle fancy;chimera
clunker;bomb
rahrah sort;booster
entreat;implore
former vice president qua;dan
stick in ones;craw
restore control say;reinstate
working farm animal;sheepdog
previously said;same
pattern  plan;design
brothers word;amen
villain;meanie
symbol of power to the p;asp
blight;bane
upright;ethical
supercilious;aloof
word before and after by;one
quadraphonic halved;stereo
doctrine;dogma
it may be red whitean;sea
retinal cell;rod
fashionable beach resort;lido
delicate;airy
stroke gently;caress
make a goner;doom
at the hub of;amid
common girls middle name;sue
was bright as the sun;shone
postulate;assert
set down;wrote
currency replaced by the;peseta
what some detectors detec;radar
ferry destination possib;isle
garden vegetable;pea
south west abandons country garden;eden
desert sight;oasis
brawl;melee
hard to improve image of means to treat shock;hairbrush
word before city or child;inner
banks of chicago;ernie
prefix with stellar;inter
shop;store
stop lying perhaps;sit
comforting story set in confines of london in revolutionary book;emollient
uncle bens specialty;rice
reply to a masher;slap
very short wait in short;sec
dogs do it;fetch
like most colleges;coed
repercussion of holding almost everything in disregard;fallout
go downhill;atrophy
down on;sour
be discriminatory in absence of head;exist
bed linen;sheet
aerosol target;odor
small combo;trio
follow;dog
hate with a passion;detest
oldfashioned dance local;barn
harem guard typically;eunuch
master hand;expert
le mans event;race
shooting site;set
branch gripper;talon
blossom part;petal
choose not to vote;abstain
sour spice used in and around lent;splenetic
shows;airs
early computer language;basic
blithe;merry
played out;stale
something to take in cour;stand
need a lift;sag
wimbledon court surface;grass
finale of a sort;coda
kind of secret;trad
destination of many pilgr;jerusalem
collection of staves;poem
ceremonial presentation;medal
turnpike feature;exit
good thing to break;par
direct;blunt
not half bad;decent
honored hindu;swami
nautical hangeron;barnacle
pecan or walnut;tree
edge;sidle
allies foe in ww ii;axis
miniature variety of a plant or animal;dwarf
gossiping;dishy
not in the know;unaware
kind of flour;rye
one of a pair of vanity p;hers
fencing action;feint
repudiate;disown
chest protector;rib
part of a libretto;aria
sass;mouth
wild throw eg;error
begin to burn;kindle
ready to serve;done
faint sound;thud
hearty brew;lager
string up illegally;lynch
application form info;age
drive up the wall;pester
problem for a maniac;ego
trial involving gold trade;ordeal
mosque vip;imam
fix firmly;cement
alongside;abreast
agnostic;nescient
bottle guzzler emptied it;grit
not choppy;calm
matriarch of all matriarc;eve
one getting sameday medi;outpatient
carmela perhaps as a noted female;soprano
lacking support;legless
linchpins place;axle
one of a 22card deck;tarot
roosevelt coin;dime
garrison keillor specialt;anecdote
tyro;rookie
liverpooltonewcastle di;nne
dependent perhaps;child
back then;ago
kernel;gist
a reduced state;less
nylon for one;polymer
wildly positive;rave
washingtons bill;one
english books fall back;ebb
picture of brain spread around coating new mushroom ring;encephalogram
native;aboriginal
that certain something;oomph
custodian;keeper
fill up;satiate
rub raw;chafe
heathrow for example;airport
mimic;imitate
advent;arrival
latitude;play
like tommy of the whos;deaf
beg off;demur
wellsuited;able
was a bad night watchman;slept
light;lamp
fishhook part;barb
seattletophoenix dir;sse
diamonds;ice
that girl;she
zest;gusto
insider;argot
eightperson band;octet
free ticket;pass
book set;literati
representative;delegate
sarcastic joke by nice chap;pungent
bosss writing;memo
stiff ballet shoe part;toe
the high cost of leaving;palimony
affirm;state
english pool game;snooker
springtime rain;april
professorship eg;chair
talk in ones sleep;restoration
journalists question;who
excellent;great
electrical engineer ready to cover one lecturer on return;tesla
stage;step
rudolph and team;deer
angle type;acute
game in which players fam;solitaire
detest;abhor
arboreal abode;nest
before all is done;yet
affair;event
horse  leather;roan
group;bloc
grab hold of;take
toast spread;margarine
debtors note;iou
netsurfers stop;site
excessive conceit;vanity
leporid mammal;rabbit
majors in acting;lee
lady in waiting;girl
like a good cake;moist
like starers;rude
green bug;aphid
brewers need;malt
silver in heraldry;argent
awl for one;tool
something a person may ta;tutu
roll of tobacco for smoking;cigar
leftovers from threshing;chaff
one leader of christians following line in church right;cleric
root is hard to get out;radish
jerry who cofounded yaho;yang
unsmart;dowdy
far from shy;brassy
shake a leg;move
v formation members;geese
aussies place of higher;uni
proof finale;qed
itchs cause;eczema
chest wood;cedar
mended;sewn
lavish display;extravaganza
say yes;approve
word with time or rights;equal
comedy scifi or romance;genre
oldfashioned christmas t;ivy
column of rising air;thermal
mathematical area returning height measurements;girth
squeaky wheels need;oil
odd spirit;rum
lacking play;taut
wife colloquially;missis
gander lives up over shed protecting female;shufti
not all the way;partly
benefit;avail
priest;lama
dispatches copy implicating hospital orderly;shipshape
alternative to cedar;teak
play part;role
go walking;hike
cartel leader;kingpin
australian bear;koala
luau entertainment;hula
awkward;ungainly
acted the fink;sang
legendary luster;satyr
spouses of a sultan;harem
this local woven material;sailcloth
lifeordeath situation;peril
fall mo;sept
subatomic particle;meson
link;sausage
albertas note against european remit;absolve
camera attachment;lens
love languages derived from latin;romance
contrivance;device
picasso eg;artist
protractor measure;angle
not dis;dat
african slitherer;asp
joule fraction;erg
settle;determine
almost matching;similar
cream eg;trio
irs target;cheat
tootsie;dear
devastation;havoc
chimp at times;mimic
inundated;awash
fool nearly following hippys goodtime band of sorts;gastric
red leader;infra
family car;sedan
not the real name;alias
cause for an excuse me;burp
carried on;waged
ritzy;swank
end of a fishing line;hook
public relations person;agent
locomotive fuel;coal
loan security;asset
hint of color;tinge
miss americas crown;tiara
presumptive person;heir
gradual absorption method;osmosis
papal representative;nuncio
indication of teen stress;acne
contains;has
iron man event;triathlon
failed as a pass;incomplete
stubborn sort;ass
word puzzle with pictures;rebus
bring up;mention
dessert;afters
given to gab;gassy
rand mcnally offering;atlas
nuance;overtone
neo for one;anagram
zip;energy
penetrating wind;oboe
likely;apt
bankroll;wad
fanciful story;lie
big bomb;fiasco
bannister eg;miler
bar stock;ice
honour given to j k row;obe
transfer;rna
kind of bag;tote
recipe word;add
crown covering;enamel
powerful person;lord
kind of skin;coon
over;across
cheat;chisel
underground burial chamber;catacomb
sailor may snatch rum;yachtsman
something passed in music;note
atmosphere;aura
scandalous;shameful
massage locale;spa
like many a jalopy;noisy
having colored patches;pied
adolescent is after food container in workplace eatery;canteen
brewery product;ale
overweight;obese
having a close resemblanc;alike
yoyo;ass
uninteresting;arid
dont be a chicken;dare
stalingrads land for sh;ussr
light tune;lilt
thing in a sling;stone
ohms symbol;omega
tittle;jot
snakes sound;hiss
cause of a rash response;sumac
hurlers stat;era
more than plump;obese
hero described as eyeles;samson
its just an idea;theory
doting;senile
bloodline;aorta
became an issue;arose
set boundaries;delimit
email nuisance;spam
sell for;fetch
point of resolution;pixel
unpleasantly said and used to deter;dissuade
not take for credit;audit
fuel source;coal
fella;mac
caltech rival;mit
the tower eg;tarot
conjuror;magician
event receipts;gate
sorceress;witch
politician gingrich;newt
wrongdoing;misdeed
every other hurricane;she
unexpressed;latent
confess in a big way;unload
slowly;lento
easter egg need;dye
title for jesus with th;redeemer
martian marking;canal
mexican dish;taco
computer picture;scan
neighbor of a georgian;turk
meatandvegetables fare;stew
winning cry in a card gam;gin
period in office;term
bun;topknot
source of some footstomp;flamenco
celebrities dropping litter at ickworth house;glitterati
calendar entry;event
moneys short unable to be spent frequently  thats careless;casual
tiny forager;ant
time out;recess
steering committees crea;agenda
very dark;inky
one way to lie;prone
hunter;elk
reckless one;daredevil
legal paper;release
ufo occupant;alien
sans clothing;naked
tyranny of the french petty officer it upset sergeant major;despotism
teach;train
monarch;king
shade of gray;slate
cunning;shrewd
piece in the game of go;stone
fill till full;sate
any hatfield to a mccoy;foe
homebody;loner
be melodramatic;emote
star of david essentiall;hexagram
hair straightener;comb
welcoming;warm
overpowering;awesome
business with net gains;fishery
unpleasant as weather;nasty
bit of a waltz;glide
finger eg;digit
cosmo or gq eg;mag
pro or con in a debate;side
dc legislator;sen
drop leaf support;gateleg
shootemup figure;gunslinger
liquid part of blood;plasma
kind of cord;umbilical
unauthorized;illicit
polish;rub
charles and familys percentage of revenue;royalty
whatchamacallit;gizmo
baba ingredient;rum
even numbers;tie
kings title;sire
flaw;blemish
film maker;acetate
go out with someone you went out with one time;exit
barnes  noble habitu;reader
got the fare down;ate
colts sibling;filly
gutted coop boss he bounces back nearly;rooster
orbit;domain
waste;debris
great gulp;swig
road crews supply;salt
exposed;bare
painful muscle contraction;spasm
things to come to grips w;pliers
harry h corbett a cross windbag;chatterbox
frequent in verse;oft
show the effect of weight;sag
old name preceder;nee
dozen dozen;gross
roosevelt flip side;torch
senseless;daft
simba for one;lion
they are hard to say;tongue
canvas canopy;awning
tail;end
like lyrics;sung
like many pingpong balls;orange
not just chuckle;roar
senior;elder
help out in a bad way;abet
unkempt;messy
philanthropy;good
clink;jail
like pretzels;salty
builders sheet;specs
mad rush;stampede
linen robe;alb
part of cola;cost
kind of duty;civic
registering a pulse;alive
fashion frill;ruffle
varnished surface someti;veneer
hardly the queens englis;pidgin
puzzled;lost
horse course;racetrack
like some waves;tidal
return for a buck;bang
drop acid;etch
place for a statue or a h;pedestal
schoolroom feature;globe
cereal crop cut at end of season for nominal fee;peppercorn
fork over;pay
spotted speedster;cheetah
rulebreaker;imp
leading shootemup comp;doom
worry cook;stew
doublecross eg;wrong
stop start;non
sitting room;toilet
falsify  chef;cook
literally the way of the;shinto
clear;erase
studio need;mike
balance beam gripper;toe
parsonage;manse
where the chips fall wher;pot
foal  horse  grig;eel
rigid box;crate
relative of darn;heck
trying;irksome
remove errors from;debug
deliberate act of disruption;sabotage
flavor tasted in some win;oak
self starter;her
anyway link;which
was down with;had
dignify;ennoble
component of natural gas;ethane
panegyrize;laud
constituent of natural ga;ethane
piggy bank user;saver
down in the dumps;glum
like a 500pounder;obese
nature walk;hike
cant abide;loathe
americanborn princess;grace
relative of baggataway;lacrosse
tide alternative;era
call forth;elicit
english tvradio inits;bbc
college world;academia
boot out;eject
early form of bridge;whist
specialised clothing;kit
deliberate;slow
steeped brew;tea
occurring once a year;annual
trunk item;spare
hamilton bill;ten
any of the seven dwarfs;miner
just observed;satin
old card game with forfei;loo
hills to cross head off;ridge
its measured in degrees;angle
selfemployed person concerned with style in football club bottom of league;freelance
mole;plant
heavy ztwist cotton;denim
british weight;tonne
measuring device;ruler
prophetess is reflected by lake;sibyl
canons study includes liturgy and scripture;criterion
british pms house numb;ten
french door plate;pane
criticize and how;trash
smythe of hockey;conn
org with a lab;fbi
sleek swimmer;otter
fit for farming;arable
got hold of;acquired
tv ad;spot
firing result;blast
off the track;astray
catch22;snag
economy;thrift
get goggleeyed;stare
feat of clay;adobe
second word in many limer;once
leaning against;anti
move like a puma;prowl
take it easy;loll
ninepin;skittle
utmost in degree;nth
this  of tears life;vale
charge;cost
report of a shooting;bang
eater seater sometimes;hostess
stage presentation;skit
honour for j k rowling;obe
pilot light;flame
what tuning forks are mad;steel
parade figure;hero
not long from now;anon
target audience of detail;men
ersatz juice;tang
stir up trouble;agitate
before for a bard;ere
bordeaux business owner;vintner
iran;contra
go belly up;fail
my tremendous sound as birds gather to do this;migrate
churl;oaf
part of a split perhaps;ten
musical group;band
freebie;pass
react badly about dodgy grid thats filled with ink;cartridge
snoop around;pry
do piano work;retune
cause for a plumber;drip
more than sufficient;superabundant
cough drop ingredient;menthol
vulgar;obscene
shortlived things;ephemera
big blow;wham
communications giant;gte
some confusion;haze
reliable;safe
it has a duel purpose;saber
eagerly desire;covet
childrens authorillustr;ros
trunks locale;rear
big in adspeak;maxi
make fat;lard
owns;has
parfait part;layer
prominence;crag
ravel classic;bolero
sing the blues;wail
light source;lamp
dance bit;pas
old cloth;rag
kick out in a way;disbar
black line below boob;blunder
run through a credit card;swipe
cow;overawe
put away ones groceries;eat
childrens writer asquith;ros
joint with a cap;knee
it turns at a pig roast;spit
annoy;miff
sing in the alps;yodel
secure in a way;lash
something beneficial like radio for example;asset
certain smoke signal;sos
uncommunicative;taciturn
unsightly inner core of bruges gets left years;ugly
appendages;arms
peculiar;rum
morning glory eg;vine
transporter across the an;llama
flood protector;levee
the ponderosa eg;spread
affright;fear
sweat blood;slave
word with work or web;site
be against;abut
plant of the myrtle famil;allspice
volume in well down by 50;halve
literary site;desk
iii to jr;son
disgusted loathing;abhorrence
bake sale organizer for;pta
accompany musically mayb;hum
former fox sitcom;martin
flotsam or jetsam in the;eel
huge;major
overshadow;upstage
skeleton site;closet
possibly asleep certainly inactive;dormant
foxs relative;sac
did investor go wrong with purchase very annoyed;driven
refusal word;wont
wrong end;doer
laidback quality;ease
ingest;eat
picture;scene
i travel beyond egyptian capital;ego
chamber worker abbr;sen
win against one conservative after another;victory
closefitting;tight
part of a theater;pit
witness;onlooker
destiny;fate
first lady hates cooking meat loaf;haslet
atlantatotampa dir;sse
place for a spare tire;waist
pester;tease
syndicate head;capo
ends with peg in a state of panic;tailspin
homage;tribute
golfers assistant;caddie
do a kabob job;marinate
kaleidoscope part;mirror
web address punctuation;slash
torch;light
emulate tyra banks;pose
its typical;norm
like 30 of the worlds l;asian
sock front;toe
ball hit out of bounds;foul
script scraper;eraser
shot block in hoopsspea;swat
again and again;thrice
get a lode of this;ore
quaker offering;cereal
comicstrip light bulb;idea
brooch;pin
sound coming from concrete drum;reel
question of identity;who
least desirable;worst
missing link possibly;apeman
twoforone eg;offer
flood with offers say;spam
cashiers cry;next
bond on the run;elope
privation;want
wrestling victories;pins
elementary biology subjec;amoeba
baking place;oven
pizzeria order;pepperoni
haircut thats short on t;mullet
office staple;copier
leblanc of joey;matt
bear part of as costs;defray
ladys mate in a disney;tramp
noon;midday
breathtaking action;gasp
party line;surprise
stormy;inclement
help in a holdup;abet
watch bearing;jewel
bowler or boater;hat
nono for mrs sprat;lean
swedish coin;krona
singer joey with the 60s;dee
like some triangles;scalene
bullfighter wild about cheers provided by men;matador
it makes for a full retirement;supper
male pilot;airman
tiptop;apex
abnormally high body temperature;fever
childrens card game;war
back burner;rearrange
overhead supporter;rafter
coal container;bin
a target set out for meeting at sea;regatta
contest of speed;race
ganders;geese
did really well;shone
verbose;gassy
pupils take part in it;sight
ovine call;baa
slippery;elusive
cobbler alternative;strudel
math class informally;trig
american indian;native
web conversation;chat
they have a roof above th;eaves
word with rush or credit;hour
foolish international group we welcome terrorists;unwise
daytoday deterioration;wear
y a of the giants;tittle
witless;inane
mouth to ralph kramden;kisser
shout;roar
it disappeared on dec 26;ussr
carmichael classic;stardust
put up security;shelter
illgotten gain;pelf
sitting duck;decoy
make another offer;rebid
windsor eg;necktie
wanting it all;ravening
snoozed;slept
page turner;reader
seasonal temp position;santa
hit tv show set in korea;mash
may symbol;emerald
powwow;chat
twotiming;untrue
cord material;bast
two vehicles one in reverse at game;baccarat
unexplained skill;esp
apply;exert
sandwich filler;salami
fire leader dismissed from employment no 10;enthuse
it takes in the sights;eye
matter of proof;alcohol
combined effect of acid and ecstasy is rubbish;tripe
not settled;fluid
santanas  ways;evil
belfry dwellers;bats
flippant;pert
church outbuilding unfinished overlooking lake and stream;channel
sneak in a way;tiptoe
inert;lifeless
virtuoso;artiste
pull apart;rip
continuously;ever
carpenters job limits new councils responsibility;planning
united;allied
north pole toymaker;elf
go from aluminum to alumi;oxidize
beachgoers burden;cooler
drink cooler;ice
mesh;net
it may call for four hand;duet
prop for groucho marx;cigar
something to talk about;topic
gone away  remaining;left
force queen into seedy bar;drive
castigate;chide
long look;gaze
jeweled headdress;tiara
price marker;tag
lionel train layout mayb;oval
activity with bubbles;bath
cabs ancestor;hansom
almost eternity;aeon
afterdinner drink;port
conifer;pine
old polo grounds star;ott
cross borne by worthy bridegroom;hybrid
kind of education;higher
bandit;brigand
sonata finale;coda
staccato indicator;dot
bandleader louis;prima
tacky;sharp
family emblem;totem
language that gave us the;erse
sports official;umpire
pirated;stolen
part of twimc;whom
highway department supply;salt
temperamental one suppos;artist
taken;ill
request;plea
playful trick;antic
be plucky enough;dare
in a pique;vexed
allnighter follower;exam
dishevel;tousle
banned insecticide for s;ddt
telegraph;wire
it can go to blazes;hose
streaker in the night sky;comet
gear impediment;sand
part of a three stooges r;slap
wood shop device;vise
protector of some canines;fluoride
have as a definition;mean
nip;bite
protoseed;ovule
attack from the air;strafe
the engineers of nys l;rpi
cruise that goes all around the uk;coast
eucalyptus eater;koala
raise a red flag;warn
indian viceroys authorit;raj
ward off;avert
pay attention;heed
flawlessly crafted;exquisite
white key informally;ivory
bug out;fly
make allusions to;refer
ranger rival;devil
part of many a corporate;cafeteria
hell take whats left from match receipts into shelter;legatee
olive stuffer;pimento
scrutinize;inspect
strikebreaker;scab
it was good for sartre;bon
solo performance;recital
engine sound;ping
symbol of craziness;loon
doctor protecting old male insect thats hibernating;dormant
thrombus;clot
it may raise spirits;seance
reverberate;echo
steam roller;locomotive
give as odds;lay
player at home;stereo
bout of debauchery;orgy
march and rally heading off wrongly prompting tears;lachrymal
wriggly fish;eel
not hold ones tongue;yap
better  than never;late
kind of metabolism;basal
like the sahara;arid
be evasive;hedge
new years;eve
dreadful;horrid
in the center of;amid
charlie parkers music;jazz
colorful violet;pansy
petty quarrel;tiff
do doer;stylist
in short supply;scant
plant root;radix
fas incomplete lineup;nil
thug;ruffian
collegearea local;townie
pilots setting perhaps;auto
interpret;read
victory;triumph
underground wealth;ore
completely;fully
fend off;avert
utter rude words in loveless stream;curse
somewhere in luxembourg engineering school leads by two points;knave
sieve essentially;mesh
traveller;wayfarer
starting point;eden
up high;aloft
plant tuber credited with tonic properties;ginseng
paper carrier;clipboard
truism;axiom
sure;certain
dactyl;toe
cause of a big bang;tnt
like the bay of rainbows;lunar
mawkish;soppy
not easily angered;even
top dog;kingpin
item with pedals;organ
financially ruined;bankrupt
catching zs;asleep
who wants leading parts in street theatre and rep;star
held a session;sat
prepare cookies or chicke;bake
plus or minus say;sign
brooklyns  island;coney
watch swedens contestant;sentry
uncontrolled;amok
ball;globe
johnnyjumpup eg;violet
where locks are changed;salon
could possibly mollify aggressive yemeni leaders;may
officially designate;anoint
ring engagement;bout
commercial thoroughfare;strip
shrub  im amos;mimosa
sentencing request;mercy
it runs in veins;ore
unarmed combat;judo
with 27d what these answ;large
flight unit;stair
hot issue;lava
examine as ore;assay
take a powder;run
spotted animal;ocelot
worthless bit;sou
doorframe part;jamb
king george i dons sarong thats shot silk;grosgrain
be frugal;stint
polite address;sir
high in the andes;alto
dig discovery;artifact
recommended intake;dose
imams cause maybe;jihad
hit the road;tour
in the poorhouse;needy
solo;lone
infuriated;livid
sceneending cry;cut
folk stories;lore
degree competitor;sure
ball on head to turn cup tie;topknot
alternative to white as;dark
turn;swivel
canopy curtain;valance
plate nailed to underside of horses hoof;shoe
plumb loco;bats
something to play;hookey
boric;acid
outer covering;skin
guacamole ingredient;avocado
clear of charges;exculpate
hire for as a position;fill
cressida to pandarus;niece
handle  lump;knob
hoi polloi;hoi
heavenly;celestial
dopey;asinine
elvis is alive full of fibre;sisal
like some habits;nasty
burden;tax
steep;soak
outcry;hue
piece of waste material;offcut
deli discard;end
wardrobe items;raiment
trial run;test
old racing ground developed naturally;organic
basement;cellar
gobi for one;desert
urgent;dire
exposed;seen
yellowstone sight;bison
calculator message;error
gamy;off
halfcircle window over a;fanlight
diva gluck;alma
beanie babies once;fad
riverbank romper;otter
body type;sedan
soaking;wet
start to leave after noisy cackling;laughter
digitize maybe;scan
unifying theme;motif
in need of blusher say;wan
dish alternative;antenna
work like tillie;toil
kind of collector;solar
nato eg;acronym
charlady thinner after cold;cleaner
move with stealth;tiptoe
patrick henry for one;orator
earlier;prior
box in;enclose
math branch;trig
tennis technique;topspin
more than capable;adept
order from pole back in charge;doric
oenologists interest;year
recalled a quote about old times in curious collection;exotica
slaves state;bondage
wise counsel;oracle
a trimming of lace one gathered;ruche
have the munchies for;crave
from the extreme north an;polar
thrill to death;elate
sugar;doll
backup singers often;trio
device for a plow team;yoke
shamed;abashed
longing;itch
offbeat;strange
flash;jiffy
sixth sense abbr;esp
what some humor lacks;taste
national alternative;hertz
sensible ideas about queen victorias inauguration subject to some concerns;nervous
youngs opposite;old
abbr for the prince of w;hms
first person present eg;attendee
untangle for a natural hairdo;afro
theory suffix;ism
request when the national;stand
smoker getting sack over complaint;lumbago
twilight;eventide
burgle;rob
make a crowd;assemble
phone;dial
turned on by;into
blubber;sob
mascara site;lash
nonprofessional;amateur
sport with throws;judo
analyze as ore;assay
line abandoned by fast runners;feet
confines;area
circus sound;ooh
tithing fraction;tenth
arena antagonist;boxer
nodded;slept
dog classification;toy
keister;rear
von richthofens title;baron
r;age
clarinet part;reed
chinese calendar animal;rat
oldstyle education;rote
like some citizenship;dual
fact fudger;liar
focus of a bull session;matador
mineral;ore
what tauto means;same
drub;lick
lexicographers interest;coinage
foreign;desk
eg native of dublin;irish
beryl eg;ore
roll of dough;wad
it may have an ornamental;urn
science of forces and motion;kinetics
nearly a score;nineteen
take apart;undo
hand over plaster;render
early version of latin 11;initial
conduct drag show;transact
like prunes;dried
key letter;kappa
lowest pitch;bass
leather type;oxhide
pip of great expectation;lad
human race;mankind
parrots spot;cage
it sells in advertising;sex
student gets suitable work for computer;laptop
its spent in trent;lira
apnea specialist for sho;ent
short news bit;squib
chicken;coward
instant;sec
flying jib eg;sail
judo move;throw
roll out the red carpet f;honor
headwork;study
love dearly;adore
p as in plymouth;pence
berlin airlift grp;raf
talk nonsensically;babble
wet sticky earth;mud
hit sega title character;sonic
apprehension;angst
one that may balk;ass
mint;fortune
kind of bean;mung
victor hugo initially abandons flowering plant;campion
fatal;lethal
high ottoman official;pasha
fairylike creatures;elves
either end of a gate;post
see;get
start of tv guide listing;saturday
something to pop;wheelie
rip to shreds;tatter
water swirl;eddy
tuck in;eat
it excludes income on for;gdp
order im not sure about  its fishy;mullet
not easily stirred;stolid
interrupt attempt to circumvent road flaws when reversing;disturb
it may be new or blue;moon
ross sea sight;iceberg
diamond target;mitt
funny story about english aphrodisiac;oyster
vision of sugarplums dan;dream
highlanders tongue;erse
indicator of current tren;vane
lacking selfrestraint at home happy to imbibe endless wine;incontinent
narcs collar;dealer
hallucinogenyielding cac;peyote
disclaim;deny
porch;veranda
photo id;lab
emulate cassandra;foresee
large amount;wad
medicine for what ails yo;tonic
it contains about 6 alco;ale
pregnancy symptom freque;nausea
cousin of an;rapier
in addition;furthermore
scared;afraid
hot barren rocky dreadful;abhorrent
pizza;hut
rowers need;oar
rude look;leer
conceal in the hand;palm
erect;build
oysters center;pearl
have it bad;ail
something to bid on;lot
porter for one;cole
whirlybird;chopper
coin whose front was last;cent
agent put away say again;repeat
word game component some;tile
flipper;spatula
miltons lycidas for o;elegy
start a pot going;ante
hit the sauce;tope
bris or confirmation;rite
wellbehaved;good
mammal disturbed mallard duck going round island;armadillo
waste time;dally
stallone to pals;sly
trig figure;angle
angle restricting university water source;faucet
animal that plays along s;otter
oedipus in the end;exile
bossa;nova
pants half;leg
openly grieved;wept
british emblem;lion
this for that;swap
to shakespeare it was ho;dew
magical utterance;presto
this might give you a fla;lease
headache for a grain farm;ergot
like water under the brid;past
it may be acute or obtuse;angle
isnt able to get girl into bed;cannot
spring event;thaw
attila or one of his foll;hun
book in which the first p;exodus
partner of done with;over
fraternity character;rho
victim in camuss the st;arab
weasel in brown;stoat
beastly;inhuman
imply noah got wasted spending hours getting very high;olympian
machu picchu builder;inca
eller of oklahoma for;aunt
small error;lapse
practitioner;exponent
period of stability;pax
hold back;retard
call at sea maybe;sos
let off steam maybe;rant
musician ultimately in wrong group;band
where the northern lights;ionosphere
anthologized eg;reran
imagebuilding maneater to forge ahead;progress
picking up power;esp
juntas act;edict
ultimate;nth
deep brown;umber
night sound;snore
shut up;clam
avg level;std
take a header;tumble
one of two for the ten co;tablet
days end abbr;eve
stockholders vote;proxy
type of gas that is never right to get promoted;nerve
word that precedes a sent;guilty
trophy locale;den
it precedes fast and foll;stead
loamy soil deposit;loess
heros tale;epic
shoe reinforcement;toecap
